birthplace,name,born,died,race,sex,deathplace
England (UK),Betsy Baker,1842-08-20,1955-10-24,White,F,U.S. (NE)
England (UK),Jennie Howell,1845-02-11,1956-12-16,White,F,U.S. (CA)
Denmark,Anne Marie Carstenson,1849-01-24,1958-03-30,White,F,U.S. (NE)
U.S. (IN),Nancy Ryan,1849-09-05,1958-10-17,White,F,U.S. (IN)
Netherlands,Christina Karnebeek-Backs,1849-10-02,1959-10-07,White,F,Netherlands
Norway,Marie Olsen,1850-05-01,1959-11-24,White,F,Norway
U.S. (MI),Mary Kelly,1851-06-07,1964-12-30,White,F,U.S. (CA)
England (UK),Elizabeth Kensley,1855-05-12,1965-03-06,White,F,England (UK)
U.S. (TX),William Fullingim,1855-07-07,1965-08-06,White,M,U.S. (OK)
England (UK),Hannah Smith,1856-01-07,1966-01-10,White,F,England (UK)
England (UK),John Turner,1856-06-15,1968-03-21,White,M,England (UK)
South Africa,Johanna Booysen,1857-01-17,1968-06-16,White,F,South Africa
Czechoslovakia,Marie Bernatkova,1857-10-22,1969-05-04,White,F,Czechoslovakia
England (UK),Ada Roe,1858-02-06,1970-01-11,White,F,England (UK)
Spain,Josefa Salas Mateo,1860-07-14,1973-02-27,White,F,Spain
England (UK),Alice Stevenson,1861-07-10,1973-08-18,White,F,England (UK)
N. Ireland (UK),Elizabeth Watkins,1863-03-10,1973-10-31,White,F,N. Ireland (UK)
Japan,Mito Umeta,1863-03-27,1975-05-31,Asian,F,Japan (Kumamoto)
Japan,Niwa Kawamoto,1863-08-05,1976-11-16,Asian,F,Japan (Shiga)
U.S. (MO),Sophia De Muth ,1866-06-30,1977-12-02,White,F,U.S. (MO)
France,Marie-Virginie Duhem,1866-08-02,1978-04-25,White,F,France
U.S. (IL),Fannie Thomas,1867-04-14,1981-01-22,White,F,U.S. (CA)
France,Augustine Teissier,1869-01-02,1981-03-08,White,F,France
U.S. (NH),Nellie Spencer,1869-08-24,1982-11-13,White,F,U.S. (NJ)
U.S. (MO),Emma Wilson,1870-05-12,1983-10-13,White,F,U.S. (MO)
U.S. (VA),Mathew Beard,1870-07-09,1985-02-16,Black,M,U.S. (FL)
Germany (now Poland) ,Augusta Holtz,1871-08-03,1986-10-21,White,F,U.S. (MO)
U.S. (CA),Mary McKinney,1873-05-30,1987-02-02,White,F,U.S. (CA)
England (UK),Anna Eliza Williams,1873-06-02,1987-12-27,White,F,Wales (UK)
U.S. (PA),Florence Knapp,1873-10-10,1988-01-11,White,F,U.S. (PA)
France,Jeanne Calment ,1875-02-21,1997-08-04,White,F,France
Canada (Que),Marie-Louise Meilleur,1880-08-29,1998-04-16,White,F,Canada (ONT)
U.S. (PA),Sarah Knauss,1880-09-24,1999-12-30,White,F,U.S. (PA)
England (UK),Eva Morris,1885-11-08,2000-11-02,White,F,England (UK)
France,Marie Bremont,1886-04-25,2001-06-06,White,F,France
U.S. (MI),Maud Farris-Luse,1887-01-21,2002-03-18,White,F,U.S. (MI)
England (UK),Grace Clawson ,1887-11-15,2002-05-28,White,F,U.S. (FL)
Cape Verde (Portugal),Adelina Domingues,1888-02-19,2002-08-21,White,F,U.S. (CA)
U.S. (NY),Mae Harrington,1889-01-20,2002-12-29,White,F,U.S. (NY)
Japan,Yukichi Chuganji,1889-03-23,2003-09-28,Asian,M,Japan (Fukuoka)
Japan,Mitoyo Kawate,1889-05-15,2003-11-13,Asian,F,Japan (Hiroshima)
Puerto Rico,Ramona Trinidad Iglesias-Jordan,1889-08-31,2004-05-29,White,F,Puerto Rico
Ecuador,Maria Esther de Capovilla,1889-09-14,2006-08-27,White,F,Ecuador
U.S. (TN),Elizabeth Bolden,1890-08-15,2006-12-11,Black,F,U.S. (TN)
Puerto Rico,Emiliano Mercado Del Toro,1891-08-21,2007-01-24,Hispanic,M,Puerto Rico
U.S. (NC),Emma Tillman,1892-11-22,2007-01-28,Black,F,U.S. (CT)
Japan,Yone Minagawa,1893-01-04,2007-08-13,Asian,F,Japan (Fukuoka)
U.S. (IN),Edna Parker,1893-04-20,2008-11-26,White,F,U.S. (IN)
Portugal,Maria de Jesus,1893-09-10,2009-01-02,White,F,Portugal
U.S. (GA),Gertrude Baines,1894-04-06,2009-09-11,Black,F,U.S. (CA)
Japan,Kama Chinen,1895-05-10,2010-05-02,Asian,F,Japan (Okinawa)
France,Eugenie Blanchard,1896-02-16,2010-11-04,White,F,France (St. Barts)
Brazil,Maria Gomes Valentim ,1896-07-09,2011-06-21,White,F,Brazil
U.S. (TN),Besse Cooper,1896-08-26,2012-12-04,White,F,U.S. (GA)
Italy,Dina Manfredini,1897-04-04,2012-12-17,White,F,U.S. (IA)
Japan,Jiroemon Kimura,1897-04-19,2013-06-12,Asian,M,Japan (Kyoto)
Japan,Misao Okawa,1898-03-05,2015-04-01,Asian,F,Japan (Osaka)
U.S. (AR),Gertrude Weaver,1898-07-04,2015-04-06,Multiracial,F,U.S. (AR)
U.S. (GA),Jeralean Talley,1899-05-23,2015-06-17,Black,F,U.S. (MI)
U.S. (AL),Susannah Mushatt Jones,1899-07-06,2016-05-12,Black,F,U.S. (NY)
Italy,Emma Morano,1899-11-29,2017-04-15,White,F,Italy
British West Indies (now Jamaica),Violet Brown,1900-03-10,2017-09-15,Black,F,Jamaica
Japan,Nabi Tajima,1900-08-04,2018-04-21,Asian,F,Japan (Kagoshima)
Japan,Chiyo Miyako,1901-05-02,2018-07-22,Asian,F,Japan (Kanagawa)
Japan,Kane Tanaka,1903-01-02,NA,Asian,F,Japan (Fukuoka)
